evaluation_id,suite_id,metric,margin,n_groups,n_pairs,n_correct,n_predicted_ties,accuracy
pathobench.exaone2025.hancook.vascular-invasion-v,pathobench,macro-ovr-auc,2.0,27,215,196,0,0.9116279069767442
pathobench.exaone2025.herroi.response,pathobench,macro-ovr-auc,2.0,28,266,180,0,0.6766917293233082
pathobench.exaone2025.mbc_.os,pathobench,cindex,2.0,28,236,156,0,0.6610169491525424
pathobench.exaone2025.mbc_.recist,pathobench,macro-ovr-auc,2.0,30,193,170,0,0.8808290155440415
pathobench.exaone2025.mut-het-rcc.bap1-mutation,pathobench,macro-ovr-auc,2.0,29,192,155,0,0.8072916666666666
pathobench.exaone2025.mut-het-rcc.pbrm1-mutation,pathobench,macro-ovr-auc,2.0,28,170,151,0,0.888235294117647
pathobench.exaone2025.mut-het-rcc.setd2-mutation,pathobench,macro-ovr-auc,2.0,26,111,86,0,0.7747747747747747
pathobench.exaone2025.nadt.response,pathobench,macro-ovr-auc,2.0,28,254,219,0,0.8622047244094488
pathobench.exaone2025.natbrca.lymphovascular-invasion,pathobench,macro-ovr-auc,2.0,30,255,158,0,0.6196078431372549
pathobench.exaone2025.ovarian.response,pathobench,macro-ovr-auc,2.0,28,262,138,0,0.5267175572519084
pathobench.exaone2025.panda.isup-grade,pathobench,macro-ovr-auc,2.0,22,33,30,0,0.9090909090909091
pathobench.exaone2025.sr386_.braf-mutant-binary,pathobench,macro-ovr-auc,2.0,30,323,221,0,0.6842105263157895
pathobench.exaone2025.sr386_.died-within-5-years,pathobench,macro-ovr-auc,2.0,30,273,238,0,0.8717948717948718
pathobench.exaone2025.sr386_.mmr-loss-binary,pathobench,macro-ovr-auc,2.0,27,220,181,0,0.8227272727272728
pathobench.exaone2025.sr386_.os,pathobench,cindex,2.0,28,173,157,0,0.9075144508670521
pathobench.exaone2025.sr386_.ras-mutant-binary,pathobench,macro-ovr-auc,2.0,28,235,206,0,0.8765957446808511
pathobench.exaone2025.visiomel.relapse-noprev-melanoma,pathobench,macro-ovr-auc,2.0,27,247,199,0,0.805668016194332
pathobench.exaone2025.visiomel.relapse-overall,pathobench,macro-ovr-auc,2.0,30,251,193,0,0.7689243027888446
pathobench.threads2025.bcnb.er,pathobench,macro-ovr-auc,2.0,29,219,211,0,0.9634703196347032
pathobench.threads2025.bcnb.her2,pathobench,macro-ovr-auc,2.0,30,178,169,0,0.949438202247191
pathobench.threads2025.bcnb.pr,pathobench,macro-ovr-auc,2.0,27,93,92,0,0.989247311827957
pathobench.threads2025.boehmk_.pfs,pathobench,cindex,2.0,30,320,256,0,0.8
pathobench.threads2025.bracs.slidelevel-coarse,pathobench,bacc,2.0,27,342,296,0,0.8654970760233918
pathobench.threads2025.bracs.slidelevel-fine,pathobench,bacc,2.0,29,408,343,0,0.8406862745098039
pathobench.threads2025.cptac_brca.pik3ca-mutation,pathobench,macro-ovr-auc,2.0,29,362,246,0,0.6795580110497238
pathobench.threads2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,2.0,30,368,334,0,0.907608695652174
pathobench.threads2025.cptac_ccrcc.bap1-mutation,pathobench,macro-ovr-auc,2.0,30,403,296,0,0.7344913151364765
pathobench.threads2025.cptac_ccrcc.os,pathobench,cindex,2.0,29,352,261,0,0.7414772727272727
pathobench.threads2025.cptac_ccrcc.pbrm1-mutation,pathobench,macro-ovr-auc,2.0,29,385,347,0,0.9012987012987013
pathobench.threads2025.cptac_coad.kras-mutation,pathobench,macro-ovr-auc,2.0,30,311,242,0,0.7781350482315113
pathobench.threads2025.cptac_coad.tp53-mutation,pathobench,macro-ovr-auc,2.0,29,357,297,0,0.8319327731092437
pathobench.threads2025.cptac_gbm.egfr-mutation,pathobench,macro-ovr-auc,2.0,28,390,310,0,0.7948717948717948
pathobench.threads2025.cptac_gbm.tp53-mutation,pathobench,macro-ovr-auc,2.0,29,338,267,0,0.7899408284023669
pathobench.threads2025.cptac_hnsc.casp8-mutation,pathobench,macro-ovr-auc,2.0,30,368,291,0,0.7907608695652174
pathobench.threads2025.cptac_hnsc.os,pathobench,cindex,2.0,29,359,322,0,0.8969359331476323
pathobench.threads2025.cptac_lscc.arid1a-mutation,pathobench,macro-ovr-auc,2.0,30,407,323,0,0.7936117936117936
pathobench.threads2025.cptac_lscc.keap1-mutation,pathobench,macro-ovr-auc,2.0,29,336,210,0,0.625
pathobench.threads2025.cptac_luad.egfr-mutation,pathobench,macro-ovr-auc,2.0,30,304,271,0,0.8914473684210527
pathobench.threads2025.cptac_luad.os,pathobench,cindex,2.0,30,404,305,0,0.754950495049505
pathobench.threads2025.cptac_luad.stk11-mutation,pathobench,macro-ovr-auc,2.0,27,364,341,0,0.9368131868131868
pathobench.threads2025.cptac_luad.tp53-mutation,pathobench,macro-ovr-auc,2.0,30,339,280,0,0.8259587020648967
pathobench.threads2025.cptac_pda.os,pathobench,cindex,2.0,29,340,271,0,0.7970588235294118
pathobench.threads2025.cptac_pda.smad4-mutation,pathobench,macro-ovr-auc,2.0,29,414,319,0,0.7705314009661836
pathobench.threads2025.ebrains.diagnosis,pathobench,bacc,2.0,30,363,307,0,0.8457300275482094
pathobench.threads2025.ebrains.diagnosis-group,pathobench,bacc,2.0,30,331,288,0,0.8700906344410876
pathobench.threads2025.imp.grade,pathobench,weighted_kappa,2.0,24,48,45,0,0.9375
pathobench.threads2025.mbc_.os,pathobench,cindex,2.0,29,364,321,0,0.8818681318681318
pathobench.threads2025.mbc_.recist,pathobench,weighted_kappa,2.0,28,339,270,0,0.7964601769911505
pathobench.threads2025.mut-het-rcc.bap1-mutation,pathobench,macro-ovr-auc,2.0,28,233,215,0,0.9227467811158798
pathobench.threads2025.mut-het-rcc.pbrm1-mutation,pathobench,macro-ovr-auc,2.0,30,271,259,0,0.955719557195572
pathobench.threads2025.mut-het-rcc.setd2-mutation,pathobench,macro-ovr-auc,2.0,27,262,233,0,0.8893129770992366
pathobench.threads2025.nadt.response,pathobench,macro-ovr-auc,2.0,29,428,342,0,0.7990654205607477
pathobench.threads2025.natbrca.lymphovascular-invasion,pathobench,macro-ovr-auc,2.0,29,437,363,0,0.8306636155606407
pathobench.threads2025.ovarian.response,pathobench,macro-ovr-auc,2.0,29,367,266,0,0.7247956403269755
pathobench.threads2025.panda.isup-grade,pathobench,weighted_kappa,2.0,30,235,212,0,0.902127659574468
pathobench.threads2025.sr386_.braf-mutant-binary,pathobench,macro-ovr-auc,2.0,28,353,280,0,0.7932011331444759
pathobench.threads2025.sr386_.died-within-5-years,pathobench,macro-ovr-auc,2.0,30,323,286,0,0.8854489164086687
pathobench.threads2025.sr386_.mmr-loss-binary,pathobench,macro-ovr-auc,2.0,27,360,294,0,0.8166666666666667
pathobench.threads2025.sr386_.os,pathobench,cindex,2.0,28,217,183,0,0.8433179723502304
pathobench.threads2025.sr386_.ras-mutant-binary,pathobench,macro-ovr-auc,2.0,29,252,216,0,0.8571428571428571
pathorob.camelyon.robustness_index,pathorob,robustness_index,2.0,30,3042,2415,0,0.7938856015779092
pathorob.tcga_2x2.robustness_index,pathorob,robustness_index,2.0,30,2774,2463,0,0.88788752703677
pathorob.tolkach_esca.robustness_index,pathorob,robustness_index,2.0,30,2680,2363,0,0.8817164179104477
thunder.bach.linear_probing,thunder,f1,2.0,30,7226,6257,0,0.8659009133683919
thunder.bracs.linear_probing,thunder,f1,2.0,30,6041,5681,0,0.9404072173481212
thunder.break_his.linear_probing,thunder,f1,2.0,30,7314,5874,0,0.8031173092698933
thunder.ccrcc.linear_probing,thunder,f1,2.0,30,6836,6426,0,0.9400234055002926
thunder.crc.linear_probing,thunder,f1,2.0,30,4271,4190,0,0.9810348864434558
thunder.esca.linear_probing,thunder,f1,2.0,30,7025,6766,0,0.9631316725978648
thunder.mhist.linear_probing,thunder,f1,2.0,30,4717,4239,0,0.8986644053423787
thunder.patch_camelyon.linear_probing,thunder,f1,2.0,30,5709,5691,0,0.9968470835522859
thunder.spider_breast.linear_probing,thunder,f1,2.0,30,5941,5834,0,0.9819895640464569
thunder.spider_colorectal.linear_probing,thunder,f1,2.0,30,5003,4971,0,0.9936038376973816
thunder.spider_skin.linear_probing,thunder,f1,2.0,30,6122,6048,0,0.9879124469127736
thunder.spider_thorax.linear_probing,thunder,f1,2.0,30,4672,4632,0,0.9914383561643836
thunder.tcga_crc_msi.linear_probing,thunder,f1,2.0,30,6271,6047,0,0.964280019135704
thunder.tcga_tils.linear_probing,thunder,f1,2.0,30,4219,4212,0,0.9983408390613889
thunder.tcga_uniform.linear_probing,thunder,f1,2.0,30,7119,6536,0,0.9181064756285995
