evaluation_id,suite_id,metric,top_fraction,n_groups,total_k,overlap,recovery
pathobench.threads2025.mut-het-rcc.pbrm1-mutation,pathobench,macro-ovr-auc,0.3,30,90,70,0.7777777777777778
pathobench.threads2025.mut-het-rcc.setd2-mutation,pathobench,macro-ovr-auc,0.3,27,81,69,0.8518518518518519
pathobench.threads2025.nadt.response,pathobench,macro-ovr-auc,0.3,29,87,77,0.8850574712643678
pathobench.threads2025.natbrca.lymphovascular-invasion,pathobench,macro-ovr-auc,0.3,29,87,70,0.8045977011494253
pathobench.threads2025.ovarian.response,pathobench,macro-ovr-auc,0.3,29,87,67,0.7701149425287356
pathobench.threads2025.panda.isup-grade,pathobench,weighted_kappa,0.3,30,90,73,0.8111111111111111
pathobench.threads2025.sr386_.braf-mutant-binary,pathobench,macro-ovr-auc,0.3,28,84,70,0.8333333333333334
pathobench.threads2025.sr386_.died-within-5-years,pathobench,macro-ovr-auc,0.3,30,90,75,0.8333333333333334
pathobench.threads2025.sr386_.mmr-loss-binary,pathobench,macro-ovr-auc,0.3,27,81,71,0.8765432098765432
pathobench.threads2025.sr386_.os,pathobench,cindex,0.3,28,84,57,0.6785714285714286
pathobench.threads2025.sr386_.ras-mutant-binary,pathobench,macro-ovr-auc,0.3,29,87,75,0.8620689655172413
pathorob.camelyon.robustness_index,pathorob,robustness_index,0.3,30,180,143,0.7944444444444444
pathorob.tcga_2x2.robustness_index,pathorob,robustness_index,0.3,30,180,156,0.8666666666666667
pathorob.tolkach_esca.robustness_index,pathorob,robustness_index,0.3,30,180,154,0.8555555555555555
thunder.bach.linear_probing,thunder,f1,0.3,30,300,254,0.8466666666666667
thunder.bracs.linear_probing,thunder,f1,0.3,30,300,244,0.8133333333333334
thunder.break_his.linear_probing,thunder,f1,0.3,30,300,240,0.8
thunder.ccrcc.linear_probing,thunder,f1,0.3,30,300,267,0.89
thunder.crc.linear_probing,thunder,f1,0.3,30,300,247,0.8233333333333334
thunder.esca.linear_probing,thunder,f1,0.3,30,300,279,0.93
thunder.mhist.linear_probing,thunder,f1,0.3,30,300,237,0.79
thunder.patch_camelyon.linear_probing,thunder,f1,0.3,30,300,252,0.84
thunder.spider_breast.linear_probing,thunder,f1,0.3,30,300,276,0.92
thunder.spider_colorectal.linear_probing,thunder,f1,0.3,30,300,258,0.86
thunder.spider_skin.linear_probing,thunder,f1,0.3,30,300,256,0.8533333333333334
thunder.spider_thorax.linear_probing,thunder,f1,0.3,30,300,252,0.84
thunder.tcga_crc_msi.linear_probing,thunder,f1,0.3,30,300,260,0.8666666666666667
thunder.tcga_tils.linear_probing,thunder,f1,0.3,30,300,275,0.9166666666666666
thunder.tcga_uniform.linear_probing,thunder,f1,0.3,30,300,262,0.8733333333333333
thunder.wilds.linear_probing,thunder,f1,0.3,30,300,271,0.9033333333333333
