alias,model_id,suite_id,reference_url,audit_notes
HIBOU-L,hibou-l,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
HIPT,hipt,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
Kaiko ViT-B/16,kaiko-vit-b-16,hest,https://huggingface.co/1aurent/vit_base_patch16_224.kaiko_ai_towards_large_pathology_fms,Alias and optional checkpoint URL parsed from the current HEST results table.
Kaiko ViT-B/8,kaiko-vit-b-8,hest,https://huggingface.co/1aurent/vit_base_patch8_224.kaiko_ai_towards_large_pathology_fms,Alias and optional checkpoint URL parsed from the current HEST results table.
Kaiko ViT-B/8,kaiko-vit-b-8,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
KAIKO-B,kaiko-vit-b-unspecified-patch,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Kaiko ViT-L/14,kaiko-vit-l-14,hest,https://huggingface.co/1aurent/vit_large_patch14_reg4_dinov2.kaiko_ai_towards_large_pathology_fms,Alias and optional checkpoint URL parsed from the current HEST results table.
Kaiko ViT-S/16,kaiko-vit-s-16,hest,https://huggingface.co/1aurent/vit_small_patch16_224.kaiko_ai_towards_large_pathology_fms,Alias and optional checkpoint URL parsed from the current HEST results table.
Kaiko ViT-S/8,kaiko-vit-s-8,hest,https://huggingface.co/1aurent/vit_small_patch8_224.kaiko_ai_towards_large_pathology_fms,Alias and optional checkpoint URL parsed from the current HEST results table.
KAIKO-S,kaiko-vit-s-unspecified-patch,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Kang-DINO,kang-dino,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
KEEP,keep,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
Lunit ViT-S/8,lunit-vit-s-8,hest,https://huggingface.co/1aurent/vit_small_patch8_224.lunit_dino,Alias and optional checkpoint URL parsed from the current HEST results table.
Midnight-12k,midnight,hest,https://huggingface.co/kaiko-ai/midnight,Alias and optional checkpoint URL parsed from the current HEST results table.
MIDNIGHT,midnight,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
MUSK,musk,hest,https://huggingface.co/xiangjx/musk,Alias and optional checkpoint URL parsed from the current HEST results table.
MUSK,musk,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
MUSK,musk,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
OpenMidnight,openmidnight,hest,https://huggingface.co/SophontAI/OpenMidnight,Alias and optional checkpoint URL parsed from the current HEST results table.
O-Midnight,openmidnight,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Phikon,phikon,hest,https://huggingface.co/owkin/phikon,Alias and optional checkpoint URL parsed from the current HEST results table.
Phikon,phikon,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
PHIKON,phikon,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Phikon-v2,phikon-v2,hest,https://huggingface.co/owkin/phikon-v2,Alias and optional checkpoint URL parsed from the current HEST results table.
Phikon-v2,phikon-v2,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
PHIKON2,phikon-v2,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
PLIP,plip,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
GigaPath,prov-gigapath,hest,https://huggingface.co/prov-gigapath/prov-gigapath,Alias and optional checkpoint URL parsed from the current HEST results table.
Prov-GigaPath,prov-gigapath,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
GIGAPATH,prov-gigapath,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
QUILTNET,quiltnet,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VLM; alias parsed from current per-dataset linear-probe table.
ResNet50,resnet50,hest,https://huggingface.co/timm/resnet50.tv_in1k,Alias and optional checkpoint URL parsed from the current HEST results table.
RETCCL,retccl,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
RudolfV,rudolfv,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
UNI,uni,hest,https://huggingface.co/MahmoodLab/UNI,Alias and optional checkpoint URL parsed from the current HEST results table.
UNI,uni,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
UNI,uni,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
UNI2-h,uni2-h,hest,https://huggingface.co/MahmoodLab/UNI2-h,Alias and optional checkpoint URL parsed from the current HEST results table.
UNI2-h,uni2-h,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
UNI2-H,uni2-h,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Virchow,virchow,hest,https://huggingface.co/paige-ai/Virchow,Alias and optional checkpoint URL parsed from the current HEST results table.
Virchow,virchow,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
VIRCHOW,virchow,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
Virchow2,virchow-2,hest,https://huggingface.co/paige-ai/Virchow2,Alias and optional checkpoint URL parsed from the current HEST results table.
Virchow2,virchow-2,pathorob,https://github.com/bifold-pathomics/PathoROB/blob/6583cf0b0d902c8cc032308262fa3a3befdc0687/README.md,Alias parsed from the PathoROB-computed RI table.
VIRCHOW2,virchow-2,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Histopathology; type=VM; alias parsed from current per-dataset linear-probe table.
ViT-B,vit-b,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VM; alias parsed from current per-dataset linear-probe table.
ViT-L,vit-l,thunder,https://github.com/MICS-Lab/thunder/blob/3d1cc9513fb2cfd8c4afb0d7bb9f5c4f6b69117f/docs/leaderboards.md,Domain=Natural-image; type=VM; alias parsed from current per-dataset linear-probe table.
