source_task,base_evaluation_id,evaluation_id,metric,model_alias,value,reference_url,source_archive_sha256
bc_therapy_her2_status,pathobench.bc_therapy.her2-status,pathobench.exaone2025.bc_therapy.her2-status,macro-ovr-auc,EXAONE Path 2.5,0.735,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,CHIEF,0.571,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,GigaPath,0.553,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,PRISM,0.572,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,TITAN,0.592,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,H-optimus-0,0.577,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,UNI2-h,0.590,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bc_therapy_residual_cancer_burden,pathobench.bc_therapy.residual-cancer-burden,pathobench.exaone2025.bc_therapy.residual-cancer-burden,macro-ovr-auc,EXAONE Path 2.5,0.626,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,CHIEF,0.872,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,GigaPath,0.895,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,PRISM,0.893,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,TITAN,0.919,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,H-optimus-0,0.928,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,UNI2-h,0.912,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_er,pathobench.bcnb.er,pathobench.exaone2025.bcnb.er,macro-ovr-auc,EXAONE Path 2.5,0.914,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,CHIEF,0.722,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,GigaPath,0.719,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,PRISM,0.718,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,TITAN,0.749,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,H-optimus-0,0.747,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,UNI2-h,0.747,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_her2,pathobench.bcnb.her2,pathobench.exaone2025.bcnb.her2,macro-ovr-auc,EXAONE Path 2.5,0.708,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,CHIEF,0.815,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,GigaPath,0.814,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,PRISM,0.821,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,TITAN,0.836,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,H-optimus-0,0.858,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,UNI2-h,0.851,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bcnb_pr,pathobench.bcnb.pr,pathobench.exaone2025.bcnb.pr,macro-ovr-auc,EXAONE Path 2.5,0.847,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,CHIEF,0.454,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,GigaPath,0.527,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,PRISM,0.541,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,TITAN,0.530,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,H-optimus-0,0.478,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,UNI2-h,0.549,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
boehmk__PFS,pathobench.boehmk_.pfs,pathobench.exaone2025.boehmk_.pfs,cindex,EXAONE Path 2.5,0.500,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,CHIEF,0.884,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,GigaPath,0.817,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,PRISM,0.893,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,TITAN,0.911,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,H-optimus-0,0.831,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,UNI2-h,0.836,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_coarse,pathobench.bracs.slidelevel-coarse,pathobench.exaone2025.bracs.slidelevel-coarse,macro-ovr-auc,EXAONE Path 2.5,0.832,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,CHIEF,0.834,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,GigaPath,0.765,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,PRISM,0.839,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,TITAN,0.850,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,H-optimus-0,0.786,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,UNI2-h,0.793,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
bracs_slidelevel_fine,pathobench.bracs.slidelevel-fine,pathobench.exaone2025.bracs.slidelevel-fine,macro-ovr-auc,EXAONE Path 2.5,0.793,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,CHIEF,0.680,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,GigaPath,0.708,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,PRISM,0.643,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,TITAN,0.687,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,H-optimus-0,0.716,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
cptac_brca_Immune_class,pathobench.cptac_brca.immune-class,pathobench.exaone2025.cptac_brca.immune-class,macro-ovr-auc,UNI2-h,0.694,https://arxiv.org/pdf/2512.14019v1,0c479164dfab7ac48a1e1876649ef73efe9f457e064c3ab00ee960856d35a268
