"source_id","source_revision","source_sha256","source_locator","model_alias","model_id","evaluation_id","dataset_id","task_family","metric","value","uncertainty","embedding_recipe","protocol","reference_url","disposition","disposition_reason"
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=prad","UNI2-h","uni2-h","hest.hoptimus1report2025.prad.gene_expression","prad","spatial_transcriptomics","pearson_r",".357","standard_deviation=.049","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=paad","UNI2-h","uni2-h","hest.hoptimus1report2025.paad.gene_expression","paad","spatial_transcriptomics","pearson_r",".500","standard_deviation=.040","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=skcm","UNI2-h","uni2-h","hest.hoptimus1report2025.skcm.gene_expression","skcm","spatial_transcriptomics","pearson_r",".659","standard_deviation=.017","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=coad","UNI2-h","uni2-h","hest.hoptimus1report2025.coad.gene_expression","coad","spatial_transcriptomics","pearson_r",".301","standard_deviation=.004","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=read","UNI2-h","uni2-h","hest.hoptimus1report2025.read.gene_expression","read","spatial_transcriptomics","pearson_r",".223","standard_deviation=.038","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=ccrcc","UNI2-h","uni2-h","hest.hoptimus1report2025.ccrcc.gene_expression","ccrcc","spatial_transcriptomics","pearson_r",".261","standard_deviation=.132","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=lung","UNI2-h","uni2-h","hest.hoptimus1report2025.lung.gene_expression","lung","spatial_transcriptomics","pearson_r",".558","standard_deviation=.014","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=UNI2-h|column=lymph_idc","UNI2-h","uni2-h","hest.hoptimus1report2025.lymph_idc.gene_expression","lymph_idc","spatial_transcriptomics","pearson_r",".272","standard_deviation=.040","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=idc","Virchow2","virchow-2","hest.hoptimus1report2025.idc.gene_expression","idc","spatial_transcriptomics","pearson_r",".592","standard_deviation=.080","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=prad","Virchow2","virchow-2","hest.hoptimus1report2025.prad.gene_expression","prad","spatial_transcriptomics","pearson_r",".348","standard_deviation=.031","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=paad","Virchow2","virchow-2","hest.hoptimus1report2025.paad.gene_expression","paad","spatial_transcriptomics","pearson_r",".472","standard_deviation=.065","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=skcm","Virchow2","virchow-2","hest.hoptimus1report2025.skcm.gene_expression","skcm","spatial_transcriptomics","pearson_r",".619","standard_deviation=.028","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=coad","Virchow2","virchow-2","hest.hoptimus1report2025.coad.gene_expression","coad","spatial_transcriptomics","pearson_r",".259","standard_deviation=.016","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=read","Virchow2","virchow-2","hest.hoptimus1report2025.read.gene_expression","read","spatial_transcriptomics","pearson_r",".209","standard_deviation=.050","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=ccrcc","Virchow2","virchow-2","hest.hoptimus1report2025.ccrcc.gene_expression","ccrcc","spatial_transcriptomics","pearson_r",".257","standard_deviation=.123","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=lung","Virchow2","virchow-2","hest.hoptimus1report2025.lung.gene_expression","lung","spatial_transcriptomics","pearson_r",".553","standard_deviation=.017","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=Virchow2|column=lymph_idc","Virchow2","virchow-2","hest.hoptimus1report2025.lymph_idc.gene_expression","lymph_idc","spatial_transcriptomics","pearson_r",".255","standard_deviation=.026","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
"hoptimus1_official_report","published:2025-04-01","a46ad75f2194ac2700eedfde6cef0edde5b56ff59438fa724cf53e4adc997bf3","Table 1|model=H-optimus-0|column=idc","H-optimus-0","h-optimus-0","hest.hoptimus1report2025.idc.gene_expression","idc","spatial_transcriptomics","pearson_r",".598","standard_deviation=.085","cls_token","Exact HEST procedure; CLS-token embedding; Pearson correlation.","https://www.bioptimus.com/news/bioptimus-launches-h-optimus-1","accepted_public_leaf","Public HEST leaf cell under the report-version protocol."
