evaluation_id,suite_id,dataset_id,task_family,target,sample_unit,task_type,sample_count,sample_count_status,metric,n_observed_models,allowlisted_low_friction_proxy,reference_url
hest.read.gene_expression,hest,read,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,,not_reported,pearson_r,26,false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.skcm.gene_expression,hest,skcm,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,,not_reported,pearson_r,26,false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
pathobench.exaone2025.bc_therapy.er-status,pathobench,bc_therapy,molecular_subtyping,er_status,case,classification,166,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.grade,pathobench,bc_therapy,tumor_grading,grade,case,classification,166,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.her2-status,pathobench,bc_therapy,molecular_subtyping,her2_status,case,classification,166,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,bc_therapy,treatment_response,residual_cancer_burden,case,classification,159,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.er,pathobench,bcnb,molecular_subtyping,er,case,classification,1058,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.her2,pathobench,bcnb,molecular_subtyping,her2,case,classification,1058,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.pr,pathobench,bcnb,molecular_subtyping,pr,case,classification,1058,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.boehmk_.pfs,pathobench,boehmk_,survival_prediction,PFS,case,survival,183,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,bracs,morphological_subtyping,slidelevel_coarse,slide,classification,547,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,bracs,morphological_subtyping,slidelevel_fine,slide,classification,547,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.immune-class,pathobench,cptac_brca,tme_characterization,Immune_class,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,cptac_brca,mutation_prediction,PIK3CA_mutation,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,cptac_brca,mutation_prediction,TP53_mutation,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,cptac_ccrcc,mutation_prediction,BAP1_mutation,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,cptac_ccrcc,tme_characterization,Immune_class,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.os,pathobench,cptac_ccrcc,survival_prediction,OS,case,survival,94,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,cptac_ccrcc,mutation_prediction,PBRM1_mutation,case,classification,103,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
