model_id,provider,family,model_type,modality,parameter_count,release_date,primary_source_url,verification_status,observed_scores,represented_suites
phikon-v2,Phikon,Phikon,tile_encoder,vision,304000000,2024-09-13,https://arxiv.org/abs/2409.09173,verified,43,eva;hest;pathorob;thunder
plip,PLIP authors,PLIP,tile_encoder,vision_language,86000000,2023-06-01,https://arxiv.org/abs/2306.00908,verified,16,thunder
prism-slide,Paige,PRISM,slide_encoder,vision,,2024-05-16,https://arxiv.org/abs/2405.10254,verified,122,pathobench
prov-gigapath,Microsoft Research,Prov-GigaPath,tile_encoder,vision,1100000000,2024-05-22,https://www.nature.com/articles/s41586-024-07441-w,verified,85,eva;hest;pathobench;pathorob;thunder
prov-gigapath-slide,Prov-GigaPath,Prov-GigaPath,slide_encoder,vision,,2024-05-22,https://www.nature.com/articles/s41586-024-07441-w,verified,122,pathobench
quiltnet,Quilt AI,QuiltNet,tile_encoder,vision_language,,2023-01-31,https://arxiv.org/abs/2301.13746,verified,16,thunder
resnet50,Meta AI,ResNet,tile_encoder,vision,25600000,2015-12-10,https://arxiv.org/abs/1512.03385,verified,9,hest
retccl,RetCCL authors,RetCCL,tile_encoder,vision,25600000,2022-10-01,https://doi.org/10.1016/j.media.2022.102645,verified,3,pathorob
rudolfv,,,tile_encoder,vision,,2024-01-08,https://arxiv.org/abs/2401.04079,verified,3,pathorob
threads-slide,MahmoodLab,THREADS,slide_encoder,vision,,2025-01-28,https://arxiv.org/abs/2501.16652,verified,42,pathobench
titan-slide,MahmoodLab,TITAN,slide_encoder,vision_language,,2024-11-29,https://www.nature.com/articles/s41591-025-03982-3,verified,80,pathobench
uni,UNI,UNI,tile_encoder,vision,304000000,2023-08-29,https://www.nature.com/articles/s41591-024-02857-3,verified,43,eva;hest;pathorob;thunder
uni2-h,UNI,UNI,tile_encoder,vision,632000000,2025-01-10,https://www.nature.com/articles/s41591-024-02857-3,verified,123,eva;hest;pathobench;pathorob;thunder
virchow,Virchow,Virchow,tile_encoder,vision,632000000,2023-09-14,https://arxiv.org/abs/2309.07778,verified,70,hest;pathobench;pathorob;thunder
virchow-2,Virchow,Virchow,tile_encoder,vision,632000000,2024-08-01,https://arxiv.org/abs/2408.00738,verified,43,eva;hest;pathorob;thunder
vit-b,Google Research,ViT,tile_encoder,vision,86000000,2020-10-22,https://arxiv.org/abs/2010.11929,verified,16,thunder
vit-l,Google Research,ViT,tile_encoder,vision,304000000,2020-10-22,https://arxiv.org/abs/2010.11929,verified,16,thunder
