model_id,evaluation_id,value,normalized_score,suite_id,metric,reference_url,source_locator,extraction_date,review_status,audit_status,lineage
chief-patch-mean,pathobench.threads2025.bcnb.her2,0.703,70.3,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T11,paper=THREADS|extended_data_table=11|model_row=Chief Mean Pooling|base_task=pathobench.bcnb.her2,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.bcnb.pr,0.799,79.9,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T11,paper=THREADS|extended_data_table=11|model_row=Chief Mean Pooling|base_task=pathobench.bcnb.pr,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.boehmk_.pfs,0.48,48,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T37,paper=THREADS|extended_data_table=37|model_row=Chief Mean Pooling|base_task=pathobench.boehmk_.pfs,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.bracs.slidelevel-coarse,0.621,62.1,pathobench,bacc,https://arxiv.org/html/2501.16652v1#S0.T23,paper=THREADS|extended_data_table=23|model_row=Chief Mean Pooling|base_task=pathobench.bracs.slidelevel-coarse,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.bracs.slidelevel-fine,0.35,35,pathobench,bacc,https://arxiv.org/html/2501.16652v1#S0.T23,paper=THREADS|extended_data_table=23|model_row=Chief Mean Pooling|base_task=pathobench.bracs.slidelevel-fine,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_brca.pik3ca-mutation,0.615,61.5,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T15,paper=THREADS|extended_data_table=15|model_row=Chief Mean Pooling|base_task=pathobench.cptac_brca.pik3ca-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_brca.tp53-mutation,0.786,78.6,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T15,paper=THREADS|extended_data_table=15|model_row=Chief Mean Pooling|base_task=pathobench.cptac_brca.tp53-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_ccrcc.bap1-mutation,0.717,71.7,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T16,paper=THREADS|extended_data_table=16|model_row=Chief Mean Pooling|base_task=pathobench.cptac_ccrcc.bap1-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_ccrcc.os,0.463,46.3,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T33,paper=THREADS|extended_data_table=33|model_row=Chief Mean Pooling|base_task=pathobench.cptac_ccrcc.os,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_ccrcc.pbrm1-mutation,0.457,45.7,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T16,paper=THREADS|extended_data_table=16|model_row=Chief Mean Pooling|base_task=pathobench.cptac_ccrcc.pbrm1-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
